"imdb_id","name","birthday (YYYY-MM-DD)"
"nm0735300","Elizabeth Rodriguez","1980-12-27"
"nm2933542","Boyd Holbrook","1981-09-01"
"nm0580351","Stephen Merchant","1974-11-24"
"nm1072555","Morena Baccarin","1979-06-02"
"nm4534098","Ed Skrein","1983-03-29"
"nm2554352","T.J. Miller","1981-06-04"
"nm2442289","Gina Carano","1982-04-16"
"nm5421877","Julian Dennison","2002-10-26"
"nm5939164","Zazie Beetz","1991-06-01"
"nm10128408","Emma Corrin","1995-12-13"
"nm0532193","Matthew Macfadyen","1974-10-17"
"nm0269463","Jon Favreau","1966-10-19"
"nm0000648","Wesley Snipes","1962-07-31"
"nm1475594","Channing Tatum","1980-04-26"
"nm0262635","Chris Evans","1981-06-13"
"nm0749263","Mark Ruffalo","1967-11-22"
"nm0424060","Scarlett Johansson","1984-11-22"
"nm1089991","Tom Hiddleston","1981-02-09"
"nm0000569","Gwyneth Paltrow","1972-09-27"
"nm0000332","Don Cheadle","1964-11-29"
"nm4043618","Tom Holland","1996-06-01"
"nm1569276","Chadwick Boseman","1976-11-29"
"nm2394794","Karen Gillan","1987-11-28"
"nm0177896","Bradley Cooper","1975-01-05"
"nm0748620","Paul Rudd","1969-04-06"
"nm0488953","Brie Larson","1989-10-01"
"nm1431940","Evangeline Lilly","1979-08-03"
"nm0005024","Terrence Howard","1969-03-11"
"nm0004753","Leslie Bibb","1973-11-17"
"nm0163988","Clark Gregg","1962-04-02"
"nm0000239","Liv Tyler","1977-07-01"
"nm0000619","Tim Roth","1961-05-14"
"nm0000458","William Hurt","1950-03-20"
"nm0084642","Bill Bixby","1934-01-22"
"nm3349620","John Campea","1972-02-26"
"nm0993507","Kat Dennings","1986-06-13"
"nm1659221","Sebastian Stan","1982-08-13"
"nm0356017","Rebecca Hall","1982-05-03"
"nm0001426","Ben Kingsley","1943-12-31"
"nm0001172","Christopher Eccleston","1964-02-16"
"nm0000602","Robert Redford","1936-08-18"
"nm1107001","Anthony Mackie","1978-09-23"
"nm1130627","Cobie Smulders","1982-04-03"
"nm1176985","Dave Bautista","1969-01-18"
"nm0000604","John C. Reilly","1965-05-24"
"nm0000335","Glenn Close","1947-03-19"
"nm0000140","Michael Douglas","1944-09-25"
"nm1015684","Corey Stoll","1976-03-14"
"nm0252230","Chiwetel Ejiofor","1977-07-10"
"nm1046097","Rachel McAdams","1978-11-17"
"nm0938950","Benedict Wong","1971-07-03"
"nm0842770","Tilda Swinton","1960-11-05"
"nm0000621","Kurt Russell","1951-03-17"
"nm0000230","Sylvester Stallone","1946-07-06"
"nm0000673","Marisa Tomei","1964-12-04"
"nm0430107","Michael B. Jordan","1987-02-09"
"nm1775091","Danai Gurira","1978-02-14"
"nm0001845","Forest Whitaker","1961-07-15"
"nm1935086","Tessa Thompson","1983-10-03"
"nm4789912","Hannah John-Kamen","1989-09-07"
"nm1320827","Randall Park","1974-03-23"
"nm0578853","Ben Mendelsohn","1969-04-03"
"nm0000179","Jude Law","1972-12-29"
"nm0000906","Annette Bening","1958-05-29"
"nm0001735","Talia Shire","1946-04-25"
"nm0949350","Burt Young","1940-04-30"
"nm0001835","Carl Weathers","1948-01-14"
"nm0580565","Burgess Meredith","1907-11-16"
"nm0001558","Mr. T","1952-05-21"
"nm0001356","Hulk Hogan","1953-08-11"
"nm0000185","Dolph Lundgren","1957-11-03"
"nm0304579","Richard Gant","1944-03-10"
"nm1620989","Antonio Tarver","1968-11-21"
"nm0400625","Geraldine Hughes","1970-01-01"
"nm0893257","Milo Ventimiglia","1977-07-08"
